Site,Pad_Region,Pad_Colour,Pad_ID,Sampling_Date,Barnacle_Species_Number,Barnacle_Species_List,Grazing_Species_Number,Grazing_Species_List,Algae_Species_Number,Algae_Species_List,Total_Species_Richness,Nitrate,Phosphorous,Salinity,Mean_Logger_Temp,Max_Logger_Temp,Phytoplankton,Precipitation,Temperature,Wind_Speed,Day_length,Solar_Insolation,Barnacle_Count,Gastropod_Count_ON,Gastropod_Count_SIDE,Algae_Cover,Green_Algae,Cyanobacteria,Diatoms,AVG_Banacle_Size,SD_Barnacle_Size
Bastion Steps,N,B,16,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,NA,NA,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,16,0,0,,,,,2.94265,0.502982883
Bastion Steps,N,W,1,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.79,34.1,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,60,0,0,,,,,3.01265,0.627092322
Bastion Steps,N,B,14,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,NA,NA,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,27,0,0,,,,,2.86595,0.385940658
Bastion Steps,N,W,9,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.75,32.7,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,39,0,0,,,,,3.40045,0.613943015
Bastion Steps,N,B,23,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.96,33.6,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,29,0,0,,,,,2.83125,0.296246636
Bastion Steps,N,W,4,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,21.16,33,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,17,0,0,,,,,2.372083333,0.258706671
Bastion Steps,N,B,18,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,21.16,31.6,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,7,0,0,,,,,2.583,0.477020571
Friars Bay,P,W,10,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.24,34.2,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,288,0,0,,0.04,0.09,0.07,2.7552,0.647580077
Friars Bay,P,B,21,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.28,34.1,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,184,0,0,,0,0.18,0.05,3.0433,0.743091672
Friars Bay,P,W,7,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.05,33.3,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,325,0,0,,0.01,0.13,0.08,2.9181,0.632315797
Friars Bay,P,B,20,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.09,33.5,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,198,0,0,,0,0.14,0.09,2.8912,0.52435268
Friars Bay,P,W,5,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.1,31.4,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,280,0,0,,0.01,0.08,0.06,2.48995,0.398457753
Friars Bay,P,B,17,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.97,33.4,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,190,0,0,,0,0.23,0.13,2.5786,0.626689485
Friars Bay,P,W,6,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.9,31.7,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,340,0,0,,0,0.16,0.1,3.00945,0.395492973
Friars Bay,P,B,19,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20.09,33.1,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,246,0,0,,0,0.14,0.08,2.6242,0.627863936
Friars Bay,P,W,2,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,20,31.4,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,375,0,0,,0,0.32,0.16,2.93645,0.605188926
Friars Bay,P,B,24,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,NA,NA,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,248,0,0,,0,0.33,0.06,2.78325,0.851387144
Friars Bay,P,W,12,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.84,31.2,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,342,0,0,,0,0.18,0.19,2.79565,0.633431179
Friars Bay,P,B,13,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.94,32.8,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,284,0,0,,0,0.4,0.03,2.9397,0.689556669
Bastion Steps,N,W,11,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.68,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,62,0,0,,0,0.08,0.12,2.9125,0.292046705
Bastion Steps,N,B,22,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,25,0,0,,0,0.05,0.13,2.77155,0.74349417
Bastion Steps,N,W,3,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.66,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,29,0,0,,0,0.04,0.08,3.17535,0.544493957
Bastion Steps,N,B,15,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.54,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,9,0,0,,0,0.05,0.08,3.020375,0.621492774
Bastion Steps,N,W,8,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.63,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,45,0,0,,0,0.03,0.19,3.41385,0.469036308
Bastion Steps,N,B,16,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,18,0,0,,0,0.03,0.06,3.0797,0.587864365
Bastion Steps,N,W,1,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.48,31.5,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,63,0,1,,0,0.07,0.21,3.23745,0.452802965
Bastion Steps,N,B,14,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,26,0,0,,0,0.02,0,2.98185,0.512954192
Bastion Steps,N,W,9,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.5,31.3,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,39,0,0,,0,0.03,0.08,3.39865,0.388590905
Bastion Steps,N,B,23,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.72,32,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,27,0,0,,0,0.04,0.09,3.09635,0.500492538
Bastion Steps,N,W,4,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.8,31.5,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,19,0,1,,0,0.02,0.1,2.492571429,0.322077945
Bastion Steps,N,B,18,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.84,32.7,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,5,0,0,,0,0.02,0.04,2.2856,1.003554458
Friars Bay,P,W,10,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.56,35.4,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,289,1,0,,0,0.2,0.16,3.19855,0.538348527
Friars Bay,P,B,21,17/08/2023,1,Semibalanus balanoides,0,,,,,70.56,0.086,NA,19.78,36.7,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,140,0,0,,0,0.15,0.06,2.8297,0.749643997
Friars Bay,P,W,7,17/08/2023,1,Semibalanus balanoides,2,"Littorina litorea, NO ID",,,,70.56,0.086,NA,19.2,35,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,322,0,2,,0,0.5,0.33,3.35945,0.442497549
Friars Bay,P,B,20,17/08/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,70.56,0.086,NA,19.45,36.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,195,0,1,,0,0.24,0.15,3.25675,0.750069043
Friars Bay,P,W,5,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.43,33.9,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,289,0,2,,0,0.14,0.1,2.89915,0.338912808
Friars Bay,P,B,17,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,70.56,0.086,NA,19.22,35.3,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,190,0,3,,0,0.47,0.3,2.9178,0.909667742
Friars Bay,P,W,6,17/08/2023,1,Semibalanus balanoides,0,,,,,70.56,0.086,NA,19.26,33.9,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,341,0,0,,0,0.1,0.51,2.68995,0.487283254
Friars Bay,P,B,19,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Calliostoma zizyphinum",,,,70.56,0.086,NA,19.46,34.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,237,0,2,,0,0.73,0.49,2.57795,0.511491254
Friars Bay,P,W,2,17/08/2023,1,Semibalanus balanoides,3,"Patella vulgaris, Osilinus lineatus, Gibbula umbilicalis",,,,70.56,0.086,NA,19.2,33.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,370,1,2,,0,0.7,0.47,2.75495,0.702932131
Friars Bay,P,B,24,17/08/2023,1,Semibalanus balanoides,2,"Calliostoma zizyphinum, Osilinus lineatus",,,,70.56,0.086,NA,NA,NA,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,241,1,1,,0,0.88,0.95,3.24875,0.740967995
Friars Bay,P,W,12,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,70.56,0.086,NA,19.04,34.4,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,349,1,2,,0,0.6,0.44,2.80955,0.723902635
Friars Bay,P,B,13,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.16,35,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,277,1,1,,0,0.47,0.23,2.9522,0.459684928
Bastion Steps,N,W,11,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.52,35.5,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,63,0,0,,0,0.07,0.16,3.2768,0.495562262
Bastion Steps,N,B,22,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,NA,NA,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,24,0,0,,0,0.04,0.18,3.0854,0.64038976
Bastion Steps,N,W,3,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.55,35.6,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,30,0,0,,0,0.04,0.17,3.20455,0.574100574
